epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.361,0.27345,2.32855,1.05759,0.15552,0.81291,0.24178,0.24155,0.17793,1.62083,0.42443,0.0670309,0.000333022,0.000333022
2,756.103,0.07114,1.55133,0.90696,0.25679,0.66609,0.38239,0.38221,0.14373,1.38372,0.33938,0.0340242,0.000659692,0.000659692
3,1120.38,inf,1.41297,0.89753,0.38987,0.66288,0.48946,0.489,0.12289,1.19181,0.29016,0.00101088,0.000979696,0.000979696
4,1482.33,0.06714,1.33305,0.89777,0.51981,0.64548,0.59429,0.59429,0.11098,1.07696,0.27418,0.000970003,0.000970003,0.000970003
5,1845.67,0.06373,1.2658,0.89306,0.57894,0.65921,0.64959,0.64959,0.08756,0.98365,0.23836,0.000960004,0.000960004,0.000960004
6,2207.39,inf,1.22378,0.89149,0.58344,0.67821,0.6728,0.6728,0.06751,0.94154,0.21734,0.000950005,0.000950005,0.000950005
7,2567.75,0.05814,1.19568,0.89072,0.59132,0.68263,0.6725,0.67229,0.10353,0.97794,0.2561,0.000940006,0.000940006,0.000940006
8,2927.96,0.05627,1.16977,0.88994,0.63683,0.68718,0.72161,0.72161,0.08379,0.84408,0.23409,0.000930007,0.000930007,0.000930007
9,3288.87,0.05487,1.15369,0.88975,0.64692,0.70984,0.73691,0.73683,0.13156,0.84882,0.3012,0.000920008,0.000920008,0.000920008
10,3650.05,0.05321,1.14234,0.88949,0.63436,0.72288,0.7385,0.73849,0.07879,0.8691,0.22865,0.000910009,0.000910009,0.000910009
11,4014.73,inf,1.12353,0.88914,0.64373,0.71249,0.73284,0.73284,0.09166,0.87299,0.23893,0.00090001,0.00090001,0.00090001
12,4377.67,0.05077,1.10377,0.88746,0.65788,0.72042,0.7571,0.75707,0.06841,0.78566,0.21274,0.000890011,0.000890011,0.000890011
13,4742.05,0.05045,1.09881,0.88823,0.64943,0.73485,0.75681,0.75681,0.06421,0.78162,0.20962,0.000880012,0.000880012,0.000880012
14,5107.06,0.04997,1.08465,0.88994,0.66095,0.74366,0.76844,0.76844,0.09641,0.79552,0.25208,0.000870013,0.000870013,0.000870013
15,5471.21,0.0487,1.07369,0.88701,0.67561,0.74519,0.77882,0.77882,0.07063,0.74104,0.2112,0.000860014,0.000860014,0.000860014
16,5836.6,0.047,1.06328,0.88857,0.67119,0.73958,0.77336,0.77336,0.0656,0.77947,0.20994,0.000850015,0.000850015,0.000850015
17,6204.52,0.04673,1.05638,0.88818,0.68838,0.74131,0.78499,0.78499,0.0614,0.7325,0.20097,0.000840016,0.000840016,0.000840016
18,6568.51,0.04682,1.05231,0.88661,0.69202,0.73544,0.78463,0.78463,0.08479,0.77993,0.23091,0.000830017,0.000830017,0.000830017
19,6929.07,0.04546,1.03982,0.88879,0.68603,0.74805,0.78886,0.78886,0.06939,0.7182,0.20945,0.000820018,0.000820018,0.000820018
20,7289.25,0.04507,1.03098,0.88694,0.6797,0.74356,0.78638,0.78638,0.06261,0.73693,0.20283,0.000810019,0.000810019,0.000810019
21,7650.08,0.04439,1.02703,0.8867,0.69682,0.73802,0.79315,0.79315,0.06773,0.72061,0.20757,0.00080002,0.00080002,0.00080002
22,8011.24,0.04393,1.01855,0.88716,0.67716,0.76552,0.79191,0.79191,0.0705,0.73718,0.21089,0.000790021,0.000790021,0.000790021
23,8371.15,0.04356,1.00654,0.88717,0.70341,0.75901,0.79897,0.79897,0.06839,0.70345,0.20796,0.000780022,0.000780022,0.000780022
24,8733.36,0.04329,1.00457,0.88653,0.69651,0.75134,0.79288,0.79288,0.10458,0.7546,0.26138,0.000770023,0.000770023,0.000770023
25,9093.99,0.04275,1.00039,0.88811,0.69505,0.74337,0.79415,0.79415,0.05721,0.72019,0.19486,0.000760024,0.000760024,0.000760024
26,9454.69,0.04257,0.99201,0.88727,0.6902,0.75735,0.80031,0.80031,0.05905,0.6919,0.19799,0.000750025,0.000750025,0.000750025
27,9816.34,0.04225,0.98425,0.88729,0.69692,0.75655,0.80305,0.80305,0.06147,0.68375,0.20158,0.000740026,0.000740026,0.000740026
28,10179.6,0.04163,0.98071,0.88683,0.70249,0.75583,0.80209,0.80208,0.08119,0.70176,0.22325,0.000730027,0.000730027,0.000730027
29,10540.5,0.04142,0.96789,0.88609,0.70502,0.75271,0.80167,0.80167,0.06584,0.72095,0.20537,0.000720028,0.000720028,0.000720028
30,10901.6,0.04126,0.96066,0.88663,0.69897,0.75723,0.80521,0.80521,0.06237,0.70081,0.20125,0.000710029,0.000710029,0.000710029
31,11265,inf,0.95445,0.88785,0.68636,0.7711,0.80065,0.80065,0.05559,0.69428,0.19408,0.00070003,0.00070003,0.00070003
32,11627.1,0.04066,0.95374,0.88619,0.70805,0.74432,0.80482,0.80482,0.06418,0.71399,0.20348,0.000690031,0.000690031,0.000690031
33,11987.9,inf,0.94055,0.88623,0.70981,0.74909,0.80556,0.80556,0.06555,0.71524,0.20307,0.000680032,0.000680032,0.000680032
34,12350.2,0.03939,0.94123,0.88502,0.7047,0.7593,0.80821,0.80821,0.05631,0.69935,0.1939,0.000670033,0.000670033,0.000670033
35,12712,0.03887,0.93399,0.88489,0.69832,0.76919,0.80915,0.80915,0.05909,0.70447,0.19672,0.000660034,0.000660034,0.000660034
36,13072.8,inf,0.93169,0.88667,0.70162,0.76547,0.80698,0.80698,0.0534,0.70274,0.1912,0.000650035,0.000650035,0.000650035
37,13435.2,0.03864,0.91911,0.88612,0.69179,0.7777,0.80702,0.80702,0.06086,0.71554,0.20047,0.000640036,0.000640036,0.000640036
38,13796.6,0.03859,0.91905,0.88595,0.70849,0.76196,0.80926,0.80926,0.05982,0.7114,0.20093,0.000630037,0.000630037,0.000630037
39,14157.1,inf,0.91265,0.88611,0.7009,0.77006,0.80953,0.80953,0.05135,0.71399,0.19133,0.000620038,0.000620038,0.000620038
40,14518.9,0.03815,0.90868,0.88611,0.70512,0.77461,0.81129,0.81129,0.0608,0.7198,0.19981,0.000610039,0.000610039,0.000610039
41,14880.8,0.03754,0.90724,0.88654,0.6988,0.77622,0.81206,0.81206,0.05578,0.71468,0.19369,0.00060004,0.00060004,0.00060004
42,15241.1,0.03771,0.89779,0.88573,0.70036,0.775,0.81359,0.81359,0.04886,0.71392,0.18648,0.000590041,0.000590041,0.000590041
43,15602.8,0.03738,0.89642,0.88583,0.70336,0.76538,0.81129,0.81129,0.0577,0.72541,0.19604,0.000580042,0.000580042,0.000580042
44,15963.5,0.03783,0.89239,0.88575,0.6936,0.78027,0.81109,0.81109,0.05672,0.72653,0.19448,0.000570043,0.000570043,0.000570043
45,16323.8,0.03651,0.88126,0.88542,0.70472,0.76447,0.80883,0.80883,0.05715,0.73413,0.19473,0.000560044,0.000560044,0.000560044
46,16685.2,0.03614,0.87395,0.88475,0.70382,0.76362,0.80725,0.80725,0.05943,0.73741,0.19781,0.000550045,0.000550045,0.000550045
47,17045.4,0.03623,0.87287,0.88527,0.70231,0.76305,0.8076,0.8076,0.05872,0.74434,0.19668,0.000540046,0.000540046,0.000540046
48,17405.4,inf,0.8696,0.88701,0.70687,0.75669,0.80762,0.80762,0.05885,0.74539,0.19625,0.000530047,0.000530047,0.000530047
49,17766.8,0.03589,0.85902,0.88507,0.70404,0.76375,0.80735,0.80735,0.05916,0.74711,0.19649,0.000520048,0.000520048,0.000520048
50,18129.6,0.03582,0.85234,0.8836,0.70543,0.75757,0.80646,0.80646,0.06112,0.74889,0.1985,0.000510049,0.000510049,0.000510049
51,18490.8,0.03518,0.85652,0.88551,0.70225,0.76275,0.80696,0.80696,0.06315,0.74971,0.20051,0.00050005,0.00050005,0.00050005
52,18850.5,0.03486,0.84445,0.88279,0.69375,0.7699,0.80756,0.80756,0.06476,0.74153,0.20197,0.000490051,0.000490051,0.000490051
53,19211.8,0.0349,0.84444,0.88562,0.7013,0.76147,0.8086,0.8086,0.06628,0.73928,0.20349,0.000480052,0.000480052,0.000480052
54,19572.7,0.03482,0.83766,0.88435,0.69982,0.76643,0.80909,0.80909,0.06502,0.74159,0.20233,0.000470053,0.000470053,0.000470053
55,19933,0.03428,0.83218,0.88488,0.71227,0.75405,0.80929,0.80929,0.06341,0.74381,0.20092,0.000460054,0.000460054,0.000460054
56,20293.1,inf,0.83205,0.88415,0.71043,0.75694,0.80897,0.80897,0.06315,0.74423,0.20073,0.000450055,0.000450055,0.000450055
57,20653.1,0.03403,0.82523,0.88307,0.71256,0.75661,0.80896,0.80896,0.06201,0.75026,0.19941,0.000440056,0.000440056,0.000440056
58,21013,0.03369,0.82122,0.88481,0.7145,0.7551,0.80892,0.80892,0.0606,0.75712,0.19774,0.000430057,0.000430057,0.000430057
59,21373.8,0.03341,0.82357,0.88499,0.71088,0.75922,0.8083,0.8083,0.05991,0.76522,0.19701,0.000420058,0.000420058,0.000420058
60,21734.5,0.03356,0.81354,0.88436,0.71251,0.75877,0.8083,0.8083,0.05973,0.77239,0.19679,0.000410059,0.000410059,0.000410059
61,22094.3,0.03339,0.80706,0.8855,0.70068,0.76887,0.80852,0.80852,0.05923,0.77867,0.19632,0.00040006,0.00040006,0.00040006
62,22452.6,0.03326,0.79845,0.88238,0.7025,0.76809,0.80828,0.80828,0.05825,0.78443,0.19526,0.000390061,0.000390061,0.000390061
63,22814.5,0.03313,0.80732,0.88553,0.70263,0.76702,0.80814,0.80814,0.05739,0.78842,0.19432,0.000380062,0.000380062,0.000380062
64,23176.5,inf,0.79634,0.88406,0.70578,0.76405,0.80836,0.80836,0.05698,0.79081,0.19398,0.000370063,0.000370063,0.000370063
65,23536.7,inf,0.7917,0.88427,0.70654,0.76136,0.8084,0.8084,0.0568,0.79194,0.19375,0.000360064,0.000360064,0.000360064
66,23897.8,0.03291,0.78655,0.88426,0.71315,0.75406,0.80837,0.80837,0.05687,0.79341,0.19378,0.000350065,0.000350065,0.000350065
67,24261.7,0.03249,0.78829,0.88598,0.71393,0.75509,0.80862,0.80862,0.05679,0.79406,0.19366,0.000340066,0.000340066,0.000340066
68,24622.6,inf,0.78279,0.88506,0.71374,0.75522,0.80855,0.80855,0.05699,0.79589,0.19381,0.000330067,0.000330067,0.000330067
69,24982.5,0.03196,0.78627,0.88527,0.71658,0.75267,0.80837,0.80837,0.05698,0.7968,0.19376,0.000320068,0.000320068,0.000320068
70,25342.9,0.03212,0.78283,0.88511,0.71097,0.75939,0.80831,0.80831,0.05666,0.79902,0.19337,0.000310069,0.000310069,0.000310069
