epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.299,1.45621,1.33896,1.32738,0.85868,0.72863,0.81972,0.51699,1.2562,0.71659,1.12627,0.0670394,0.000332935,0.000332935
2,711.542,1.21867,0.71899,1.10986,0.8786,0.77787,0.8606,0.55901,1.19565,0.61367,1.06761,0.0340328,0.000659606,0.000659606
3,1144.18,1.17361,0.66516,1.06852,0.88487,0.78377,0.86789,0.56322,1.17542,0.60283,1.05624,0.00101944,0.000979612,0.000979612
4,1543.98,1.16267,0.64814,1.06437,0.89267,0.79548,0.8766,0.57734,1.16546,0.58094,1.0652,0.000970003,0.000970003,0.000970003
5,2008.84,1.14839,0.62666,1.05782,0.8944,0.79772,0.88218,0.58322,1.1606,0.56963,1.04967,0.000960004,0.000960004,0.000960004
6,2419.38,1.13871,0.60984,1.05417,0.88454,0.80979,0.88673,0.58804,1.15076,0.56207,1.05374,0.000950005,0.000950005,0.000950005
7,2851.13,1.1314,0.59926,1.04404,0.88736,0.81536,0.88746,0.58688,1.15281,0.55706,1.04406,0.000940006,0.000940006,0.000940006
8,3321.26,1.11686,0.59312,1.03786,0.89282,0.8064,0.88978,0.59045,1.14901,0.54828,1.05167,0.000930007,0.000930007,0.000930007
9,3674.67,1.11101,0.58557,1.03853,0.87991,0.81794,0.88895,0.58954,1.14914,0.5509,1.05053,0.000920008,0.000920008,0.000920008
10,3957.67,1.10952,0.57411,1.03469,0.88947,0.81765,0.89277,0.59537,1.14544,0.5348,1.03543,0.000910009,0.000910009,0.000910009
11,4239.47,1.10384,0.56551,1.03195,0.89673,0.8162,0.89202,0.5928,1.15366,0.53866,1.04874,0.00090001,0.00090001,0.00090001
12,4521.06,1.099,0.56219,1.02637,0.88634,0.81772,0.88977,0.59174,1.14349,0.53792,1.02875,0.000890011,0.000890011,0.000890011
13,4801.45,1.09542,0.55906,1.0254,0.88718,0.82461,0.89421,0.59445,1.14941,0.53195,1.04428,0.000880012,0.000880012,0.000880012
14,5082.33,1.09444,0.55326,1.02666,0.88862,0.82659,0.8957,0.59749,1.1443,0.52488,1.04174,0.000870013,0.000870013,0.000870013
15,5363.27,1.08577,0.54743,1.02724,0.88859,0.82348,0.89279,0.59584,1.14484,0.53096,1.04043,0.000860014,0.000860014,0.000860014
16,5646.26,1.08445,0.54553,1.02184,0.88712,0.82348,0.89022,0.59754,1.13957,0.53455,1.04076,0.000850015,0.000850015,0.000850015
17,5929.1,1.08672,0.54249,1.02193,0.88507,0.824,0.89245,0.59697,1.14076,0.52508,1.03807,0.000840016,0.000840016,0.000840016
18,6216.48,1.07942,0.53665,1.01669,0.8881,0.82785,0.8942,0.60131,1.13923,0.52619,1.03566,0.000830017,0.000830017,0.000830017
19,6509.2,1.07743,0.53199,1.01391,0.89163,0.82281,0.89545,0.59878,1.13764,0.52396,1.02552,0.000820018,0.000820018,0.000820018
20,6825.87,1.06847,0.52743,1.01964,0.88888,0.82377,0.89493,0.5981,1.13605,0.51918,1.04088,0.000810019,0.000810019,0.000810019
21,7130.32,1.07562,0.52669,1.01768,0.89353,0.82377,0.89623,0.60084,1.13692,0.51297,1.04954,0.00080002,0.00080002,0.00080002
